TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Air Force,MWC,29,12,20.2,29.6,30.8,53.9,35.4,2015
Colorado St.,MWC,33,26,18,34.1,41.9,49,34.8,2015
Fresno St.,MWC,30,13,20.3,25.9,38.8,47.2,31.3,2015
Nevada,MWC,29,7,15.7,39.8,39.9,41.4,25.8,2015
New Mexico,MWC,31,15,18.6,33.3,38.4,48.6,30.8,2015
San Jose St.,MWC,28,0,17.8,24.1,29.1,38.7,29.4,2015
UNLV,MWC,32,17,16.2,26.7,32.7,48,36.1,2015
Utah St.,MWC,30,17,17,21.7,36.4,48.5,39.4,2015
Air Force,MWC,30,12,19.4,24.3,39.6,47,33.4,2016
Boise St.,MWC,30,18,20.2,27.2,40.9,53.7,32.6,2016
Colorado St.,MWC,32,16,14.1,33,42.3,46.5,36.2,2016
Nevada,MWC,36,22,17.3,30.7,43.2,46.3,29.1,2016
New Mexico,MWC,32,17,17,30.5,43.9,51,36.3,2016
San Diego St.,MWC,36,26,18,33.9,42.5,46.3,32.6,2016
San Jose St.,MWC,28,6,17.2,27.1,38.5,48.2,29.8,2016
UNLV,MWC,31,16,19.5,28.3,40.9,50.1,32.8,2016
Utah St.,MWC,29,14,16.5,29.2,33.6,49.2,37.9,2016
Wyoming,MWC,30,12,15.8,18.1,45.9,50.8,37.2,2016
Air Force,MWC,31,12,17.5,26.5,37.4,47,36.2,2017
Boise St.,MWC,31,20,16.6,27.7,40.5,51.5,34.8,2017
Colorado St.,MWC,34,24,16.9,31.3,38.2,46.6,34.1,2017
Fresno St.,MWC,31,20,20.6,27.2,40.5,49.5,35.6,2017
New Mexico,MWC,31,17,19,27,46,50.7,32.7,2017
San Diego St.,MWC,32,19,19,30.5,35.3,47.5,31.6,2017
San Jose St.,MWC,28,14,18.9,24.9,36.1,47.7,33.7,2017
UNLV,MWC,32,11,16.5,28.9,37.5,43.5,32,2017
Utah St.,MWC,30,15,15.8,24.9,35.1,50,38,2017
Wyoming,MWC,36,23,16.2,22.7,37.5,50.7,35.1,2017
Air Force,MWC,29,12,20.6,27.4,32,46.8,32.5,2018
Boise St.,MWC,31,23,16.4,29.3,31,52,37.5,2018
Colorado St.,MWC,31,11,17.4,30.6,33.8,46.4,33,2018
Fresno St.,MWC,30,21,18.8,26.6,38.4,52.7,39,2018
New Mexico,MWC,33,19,22,26.1,34.6,51.4,37.1,2018
San Jose St.,MWC,29,4,14.9,27.8,34.2,46.2,36.2,2018
UNLV,MWC,33,20,15.5,34.5,43.4,54.8,33.4,2018
Utah St.,MWC,33,17,17.6,25.4,33.2,52.5,36,2018
Wyoming,MWC,32,20,19.1,19.5,41.2,52.7,34.2,2018
Air Force,MWC,31,14,17.8,23.2,28.3,53.1,32.3,2019
Boise St.,MWC,32,13,18.5,23.5,31.8,54.7,35.2,2019
Colorado St.,MWC,31,12,16.2,23.9,31.9,55.5,35.2,2019
Fresno St.,MWC,31,23,19.5,27.4,30.2,51.9,38.2,2019
New Mexico,MWC,31,14,18.3,29.3,39.3,47.8,34.4,2019
San Diego St.,MWC,33,21,18.8,28.9,35.2,47.9,35.6,2019
San Jose St.,MWC,30,4,15.4,27.4,34.8,44.1,33,2019
UNLV,MWC,31,17,17.6,35.5,34.9,48.8,33.7,2019
Wyoming,MWC,31,8,17.4,15.9,39.1,47.1,34.5,2019
Bryant,NEC,31,16,16.6,29.5,32.8,46.9,34.6,2015
Central Connecticut,NEC,31,5,15.8,30.9,28.6,43.2,32.2,2015
Fairleigh Dickinson,NEC,28,7,23.2,27.6,34.2,45.5,32.1,2015
LIU Brooklyn,NEC,30,12,18.2,31.3,39.8,42.8,32.4,2015
Mount St. Mary's,NEC,30,15,21.3,30.6,30.4,45.5,33,2015
Sacred Heart,NEC,31,14,18.4,33.9,35.9,50.3,32,2015
St. Francis NY,NEC,34,22,20.2,39.6,40.9,47.5,29.1,2015
St. Francis PA,NEC,31,15,20.6,25.7,34.6,50.3,33.1,2015
Wagner,NEC,29,9,19.8,37.2,33.9,44,30.6,2015
Bryant,NEC,30,7,16,26.2,26.9,46.9,32,2016
Central Connecticut,NEC,29,4,14.8,29.9,31.1,42.3,34.2,2016
LIU Brooklyn,NEC,31,16,19.7,32.2,41.4,49.5,29.7,2016
Mount St. Mary's,NEC,33,14,24.6,25.3,30.6,44.8,31.7,2016
Robert Morris,NEC,32,10,22,26.1,35.5,49.6,27.6,2016
Sacred Heart,NEC,30,12,18,33.4,38.7,49.2,31.1,2016
St. Francis NY,NEC,31,14,18.6,32.2,36.1,46.2,30.3,2016
St. Francis PA,NEC,29,12,16.4,31.5,38.5,45.3,35.8,2016
Wagner,NEC,33,22,20.7,36.9,32.6,46.4,33.6,2016
Bryant,NEC,31,12,17.6,29.2,32.8,49.2,33.7,2017
Central Connecticut,NEC,29,6,20.2,31.5,33.3,44.6,35.1,2017
Fairleigh Dickinson,NEC,29,11,19.4,27.4,36.1,49.8,32.7,2017
LIU Brooklyn,NEC,31,20,19.5,36.4,38.8,47,34.8,2017
Robert Morris,NEC,33,14,23.7,29.3,41.3,43.8,31.9,2017
Sacred Heart,NEC,32,13,19.5,30.9,35,49.2,33.5,2017
St. Francis NY,NEC,30,4,20,27.9,31.8,40.1,28.2,2017
St. Francis PA,NEC,33,17,18.7,29.7,29.6,50.4,38.1,2017
Wagner,NEC,29,16,18.5,40.1,34.7,47.1,32.5,2017
Bryant,NEC,31,3,17.9,26.2,27.8,45.5,34.4,2018
Central Connecticut,NEC,32,14,16.6,31.1,32.6,51.8,32.9,2018
Fairleigh Dickinson,NEC,29,13,19.3,30.3,30.8,49.3,33.9,2018
Mount St. Mary's,NEC,30,18,20.2,20.5,29.1,52.3,37.3,2018
Robert Morris,NEC,33,16,22.3,31.2,34.3,45.9,33.2,2018
Sacred Heart,NEC,30,10,14.6,32.5,30,50.3,29.9,2018
St. Francis NY,NEC,29,13,20.9,26.2,30.4,46.4,34.6,2018
St. Francis PA,NEC,29,18,18.6,25.7,33.5,51.2,37,2018
Wagner,NEC,31,23,20.4,35.8,34.2,47,36,2018
Bryant,NEC,30,10,18.6,26.6,36.8,49.2,32.5,2019
Central Connecticut,NEC,29,11,18.1,29.6,34.1,45.8,32.8,2019
LIU Brooklyn,NEC,31,16,18.5,28.3,34.4,50.3,34.1,2019
Mount St. Mary's,NEC,29,9,17.8,25.1,33.9,48.7,31.2,2019
Robert Morris,NEC,33,18,22.2,30.1,32.2,47.3,34.1,2019
Sacred Heart,NEC,31,15,16.5,31.8,38.1,51.1,35.2,2019
St. Francis NY,NEC,31,17,19.2,26.9,28.6,47.3,33.5,2019
St. Francis PA,NEC,31,18,16.9,33.4,35,46.5,35.3,2019
Wagner,NEC,28,13,19.8,33.4,33.8,43.1,30.1,2019
Austin Peay,OVC,28,6,20.3,31.8,41.6,44.2,30.1,2015
Eastern Illinois,OVC,31,16,18.9,23.4,33.4,47.8,37.4,2015
Eastern Kentucky,OVC,31,19,26.9,21.6,32.2,54.9,35.1,2015
Jacksonville St.,OVC,29,10,19.2,28.7,37.6,42.3,29.5,2015
Morehead St.,OVC,32,15,21.2,34.7,34.7,48.4,34,2015
Murray St.,OVC,33,27,18.7,35.9,41.2,52.6,38.3,2015
SIU Edwardsville,OVC,26,10,19.8,28.8,37.4,45.3,36.9,2015
Southeast Missouri St.,OVC,28,11,19.3,32.2,36.4,48.1,33.7,2015
Tennessee Martin,OVC,32,19,15.4,30,31.4,50,39.4,2015
Tennessee St.,OVC,29,3,18.3,26.5,40.4,40,34.8,2015
Tennessee Tech,OVC,28,10,18.7,36.4,34.8,49.1,32.2,2015
Belmont,OVC,31,19,16.5,26.4,34.5,62.6,36.4,2016
Eastern Illinois,OVC,28,11,19.5,26.8,34.4,48.8,34.4,2016
Eastern Kentucky,OVC,30,14,20.3,27,40.3,54.2,39.5,2016
Jacksonville St.,OVC,29,7,18.6,27,30.9,43.2,34.5,2016
Morehead St.,OVC,35,21,21.4,38.6,35.3,45.8,36.2,2016
Murray St.,OVC,29,15,19.2,28.7,34.1,50.1,36.1,2016
SIU Edwardsville,OVC,28,6,17.6,32.4,36.9,44.4,30.4,2016
Southeast Missouri St.,OVC,27,3,18.5,28.5,35.7,44.6,28.8,2016
Tennessee Martin,OVC,33,18,17,29.5,35.6,49.8,34.4,2016
Tennessee St.,OVC,29,18,21.6,31.4,41.5,50,34.1,2016
Tennessee Tech,OVC,29,17,16,27.6,44,51.3,35.9,2016
Austin Peay,OVC,28,11,17.6,24.2,41,52.2,35.2,2017
Belmont,OVC,29,23,16,25.6,29.4,60.9,34.1,2017
Eastern Illinois,OVC,27,14,21,29.5,26.9,43.5,36.6,2017
Eastern Kentucky,OVC,29,12,19.2,25.2,37.4,50.1,32.3,2017
Morehead St.,OVC,28,14,19.4,35.2,28.8,48,38.7,2017
Murray St.,OVC,31,16,17.9,31.8,34.9,48.5,36.1,2017
SIU Edwardsville,OVC,28,6,18.3,31.6,45.7,45.5,29.2,2017
Southeast Missouri St.,OVC,31,15,21.9,24.7,35.1,49,36.8,2017
Tennessee Martin,OVC,33,22,19,37.4,34.3,53.2,34.7,2017
Tennessee St.,OVC,28,17,21.4,34.2,39.5,48.3,33.1,2017
Tennessee Tech,OVC,30,12,20.4,29,38.5,47.7,32.5,2017
Austin Peay,OVC,32,19,22.1,34.7,35.9,49,34.8,2018
Belmont,OVC,33,24,16.9,25.2,27.9,61.7,37.6,2018
Eastern Illinois,OVC,29,12,19.3,29.9,32.2,44.6,35.3,2018
Eastern Kentucky,OVC,29,11,19.1,27.1,33.4,48.2,35.1,2018
Jacksonville St.,OVC,35,23,19.3,33.4,30.4,51.3,31.8,2018
Morehead St.,OVC,27,8,19.9,31,36.7,48.5,31.8,2018
SIU Edwardsville,OVC,30,9,17.5,29.3,33,47.2,32.4,2018
Southeast Missouri St.,OVC,29,14,17.2,26.2,37.7,50.7,39.3,2018
Tennessee Martin,OVC,29,10,19,28.5,24.1,50.7,32.2,2018
Tennessee St.,OVC,28,15,23.3,25.5,37.8,48.1,33.9,2018
Tennessee Tech,OVC,31,19,20.3,28.2,37.7,47.5,34.5,2018
Austin Peay,OVC,31,22,20.8,32.3,34.7,51.1,37.5,2019
Eastern Illinois,OVC,31,14,18.4,29.2,28.7,46.7,36.2,2019
Eastern Kentucky,OVC,29,13,21.5,27.3,32.6,47.7,32,2019
Jacksonville St.,OVC,31,24,20.4,33,30.2,52.3,31,2019
Morehead St.,OVC,31,13,17.7,27.8,33.9,47.1,33.6,2019
SIU Edwardsville,OVC,29,10,18.9,28.5,34.6,47.6,30.3,2019
Southeast Missouri St.,OVC,29,10,17.4,25.6,29.1,47.4,36.6,2019
Tennessee Martin,OVC,29,12,19.3,31.5,26.4,49.9,34.1,2019
Tennessee St.,OVC,28,9,20.3,28.7,36.2,49.3,32.6,2019
Tennessee Tech,OVC,29,8,19.2,27.9,36.3,43.9,33.6,2019
Arizona St.,P12,34,18,19.1,31.8,42.1,49.9,35,2015
California,P12,33,18,14.3,26,30.3,47,35.9,2015
Colorado,P12,34,16,16.9,34.4,40.8,47.7,33.5,2015
Oregon St.,P12,30,16,23.7,28.5,36.8,46,32,2015
Stanford,P12,37,24,17.2,33.6,40.5,46,37.7,2015
USC,P12,32,12,19.1,31.5,33.8,45.8,32.9,2015
Washington,P12,31,16,16.8,31.4,33.9,48.9,33.4,2015
Washington St.,P12,31,13,14.1,26.4,39.7,48.7,34.2,2015
Arizona St.,P12,32,15,18.3,31.5,37.8,46.6,33.6,2016
Stanford,P12,29,14,19.8,30.8,45.3,47.4,31.8,2016
UCLA,P12,32,15,16.1,32.8,32.3,48.8,36.3,2016
Washington,P12,34,19,20.5,33.4,41.2,47.3,33.1,2016
Washington St.,P12,30,8,14.7,23.9,31.1,50.3,34.6,2016
Arizona St.,P12,33,15,18.3,24.4,31.9,48.7,36.6,2017
California,P12,34,21,16.6,32.9,37.7,46.6,34,2017
Colorado,P12,33,19,17.2,33,37.5,49.9,35.1,2017
Oregon St.,P12,31,5,17.5,26.9,34.3,46.3,34.6,2017
Stanford,P12,30,14,20.6,29.6,37.3,48.2,32.3,2017
Utah,P12,30,20,17,30.9,33.1,57.4,36,2017
Washington,P12,31,9,16.4,34.9,30.8,49.4,35.4,2017
Washington St.,P12,30,13,14.7,20,27.2,50.6,36.6,2017
California,P12,31,8,19.7,34.8,38.1,45.1,28.6,2018
Colorado,P12,32,17,15.1,29.3,33.3,48.8,35.8,2018
Oregon,P12,36,23,19,31,31.7,53.1,35.7,2018
Oregon St.,P12,32,16,18.6,31.8,38.7,53.3,32.9,2018
Stanford,P12,35,19,15.9,32.8,41.6,50.3,36.9,2018
USC,P12,36,24,19.2,30,29.9,52.4,37.6,2018
Utah,P12,35,23,17.5,24.1,34.4,53.6,37,2018
Washington,P12,34,21,21.1,28.9,36.7,51.6,34.6,2018
Washington St.,P12,31,12,16.4,24.6,24.7,51.7,37.7,2018
Arizona,P12,32,17,20.3,28.4,33.3,48.1,33.6,2019
California,P12,31,8,20.5,23.3,34.8,46.5,35,2019
Colorado,P12,36,23,17.4,30.7,37.2,52.3,32.3,2019
Oregon St.,P12,31,18,17.6,30.8,36.8,54.5,32.1,2019
Stanford,P12,31,15,17.2,29.9,36.1,53.2,31.7,2019
UCLA,P12,33,17,15.1,30.8,38.2,51.4,35.5,2019
USC,P12,33,16,18.1,27,27.6,50.3,38.2,2019
Utah,P12,31,17,14.7,31,35.5,54.6,37,2019
Washington St.,P12,32,11,17.1,25.2,30.3,51.5,36.4,2019
American,Pat,33,17,21.8,21.3,34.4,51.8,37.4,2015
Army,Pat,29,14,18.9,29.7,32,51.1,32.2,2015
Boston University,Pat,29,12,16.3,28.2,44.9,50.8,36.8,2015
Bucknell,Pat,33,18,14.5,29.6,40.3,46.2,38.1,2015
Colgate,Pat,32,15,16.5,23.7,27.4,53.8,39.5,2015
Holy Cross,Pat,29,13,21.6,29.6,34.9,45.4,33.7,2015
Lehigh,Pat,29,15,17.4,29.2,36.2,47.8,34.8,2015
Loyola MD,Pat,30,11,17.6,31.9,37.6,40.4,32.5,2015
Navy,Pat,31,12,20.1,29.5,30.6,48.8,33.1,2015
American,Pat,31,12,19.2,23.5,31.7,47.7,34.1,2016
Army,Pat,32,18,16.4,31,31.7,49.3,33.4,2016
Boston University,Pat,33,18,17.1,26.5,37,51,36.1,2016
Bucknell,Pat,30,16,17.9,29.7,43.9,51.2,35.8,2016
Colgate,Pat,29,12,19.4,26.6,29.9,50.3,37,2016
Lafayette,Pat,30,6,16.7,22.3,31.6,47.9,36.5,2016
Lehigh,Pat,31,16,18.6,29.1,31.7,48.5,39.3,2016
Loyola MD,Pat,30,9,17,31.4,38.4,48.7,30.4,2016
Navy,Pat,32,18,20.3,32.6,42.8,50.8,30.5,2016
American,Pat,30,8,20.2,21.7,30.7,51.7,31.8,2017
Army,Pat,31,13,17.3,26.4,28,50.7,35.1,2017
Boston University,Pat,31,18,20.7,28.1,33.4,50,35.3,2017
Colgate,Pat,31,10,17.3,24.8,33.4,49.4,36.1,2017
Holy Cross,Pat,32,15,25.7,19.4,34.4,49.3,34.5,2017
Lafayette,Pat,29,9,18.2,20,29.4,49.2,32.6,2017
Lehigh,Pat,31,20,18.6,23.2,32,53.4,39.2,2017
Loyola MD,Pat,32,16,21.3,33,39.2,45.3,33.2,2017
Navy,Pat,31,16,23.8,36.9,35.9,49,30.6,2017
American,Pat,30,6,20.4,23.8,30.4,50.7,33.8,2018
Army,Pat,29,13,19.7,27.1,24.5,48.8,38.1,2018
Boston University,Pat,30,15,20.1,28.3,32.8,51.1,37.3,2018
Colgate,Pat,32,19,19.4,25.6,29,49,36.3,2018
Holy Cross,Pat,31,12,20,19.3,29.7,55.1,32.6,2018
Lafayette,Pat,30,10,14.7,21,28.8,51.4,37.4,2018
Lehigh,Pat,29,16,16,25.3,25.8,47.7,40.6,2018
Loyola MD,Pat,30,9,18.7,29.1,33.3,48.1,31.3,2018
Navy,Pat,31,20,21.3,31.7,36.2,50.2,32.3,2018
American,Pat,30,15,17.7,26.1,35.8,55.6,32.5,2019
Army,Pat,31,13,18.7,21.6,24.3,51,31.8,2019
Boston University,Pat,32,15,18.2,28.6,24.8,54.5,34.2,2019
Bucknell,Pat,33,21,16.6,25.8,33.9,53.3,35.1,2019
Holy Cross,Pat,33,16,22.1,20.6,23.1,52.5,35.4,2019
Lafayette,Pat,29,10,15.3,22.2,24.5,49.2,38.3,2019
Lehigh,Pat,31,20,15.6,23.5,34.9,51.9,42.4,2019
Loyola MD,Pat,32,11,20.6,27.9,33.6,51.8,34.2,2019
Navy,Pat,31,12,16.6,31.8,30.5,46.4,31.7,2019
Appalachian St.,SB,29,12,17.2,31.4,33.6,44.5,31.6,2015
Arkansas Little Rock,SB,30,12,19.9,28.4,36,45.8,34,2015
Arkansas St.,SB,28,10,17.6,29.7,33,44.1,32,2015
Georgia Southern,SB,28,19,22,32.6,36.2,47.5,31.4,2015
Louisiana Lafayette,SB,33,19,18.4,34.6,39.6,49.2,34.7,2015
Louisiana Monroe,SB,34,20,17.2,32.6,26.1,46,29.9,2015
South Alabama,SB,31,10,15.2,30,41.9,47,32.9,2015
Texas St.,SB,28,11,23.1,29,36.5,42.8,31.1,2015
Troy,SB,27,8,19.5,31.3,38,48.1,33.5,2015
UT Arlington,SB,30,15,19.6,31.8,38.1,50.8,31.3,2015
Appalachian St.,SB,31,9,15.9,33,39.1,43.1,35.6,2016
Arkansas St.,SB,29,9,14.9,28,40.1,45.1,31.5,2016
Georgia Southern,SB,29,12,20,29.7,37.7,45.6,33.3,2016
Georgia St.,SB,28,14,21.2,24.5,37.5,47.1,34.8,2016
Louisiana Lafayette,SB,32,17,16.5,37.7,42.2,49.9,31.1,2016
Louisiana Monroe,SB,32,18,17,31.5,32.2,50,34.5,2016
South Alabama,SB,31,12,18,30.5,38.3,45.1,31.9,2016
Texas St.,SB,29,13,20.8,29.8,37.7,46,32.1,2016
Troy,SB,29,8,17.8,29.4,37.2,44.8,31.5,2016
UT Arlington,SB,34,23,20.1,36.3,34.4,49.5,32.5,2016
Appalachian St.,SB,28,9,16.9,28.9,37.1,46.3,32.7,2017
Arkansas St.,SB,31,20,18.8,31,41.5,49.7,37.7,2017
Coastal Carolina,SB,37,20,16.6,30.5,29.2,48,32.7,2017
Georgia Southern,SB,31,18,18.7,25.2,39.9,49.2,36.3,2017
Georgia St.,SB,31,20,19.8,29.9,33.9,53.3,35,2017
Little Rock,SB,30,15,19.9,28.4,32.3,48.2,33.8,2017
Louisiana Lafayette,SB,31,21,20.1,36.3,42.2,51.5,34.2,2017
Louisiana Monroe,SB,31,9,16.5,29.5,26,47,32.5,2017
South Alabama,SB,30,14,22.4,27.2,38.3,49,31.7,2017
Texas St.,SB,34,22,19.9,28.2,36.8,50.1,34.1,2017
UT Arlington,SB,34,27,20.1,32.6,34.6,54.7,33,2017
Appalachian St.,SB,31,15,17.2,29.5,36.8,49.9,33.3,2018
Arkansas St.,SB,30,11,18.8,30.2,33.1,49.2,33.2,2018
Coastal Carolina,SB,29,14,18,34.2,38.8,48.4,33.3,2018
Georgia Southern,SB,31,21,20.3,30.3,38.2,48.4,33.6,2018
Little Rock,SB,30,7,19.9,28.3,32.1,47.3,31.8,2018
Louisiana Lafayette,SB,32,27,19.6,35.9,38,52.4,35.4,2018
Louisiana Monroe,SB,29,16,18.6,25.2,24.3,47,35.6,2018
South Alabama,SB,30,14,18.4,25.7,37.7,48.3,32.3,2018
Texas St.,SB,31,15,19.4,31.9,36.3,48.4,33.1,2018
Troy,SB,31,16,16.6,26.9,33.6,52.1,33.7,2018
UT Arlington,SB,33,21,19.3,30.8,34.8,51,36.5,2018
Appalachian St.,SB,29,11,17.4,25.9,37,51.3,34.4,2019
Arkansas St.,SB,30,13,17.1,33.7,37.9,46.5,32.3,2019
Coastal Carolina,SB,32,17,18,32.7,39.4,49.4,37,2019
Georgia Southern,SB,31,21,20,27.4,35,56.8,32.4,2019
Little Rock,SB,29,10,19.4,24.3,42.5,54.9,35.6,2019
Louisiana Lafayette,SB,30,19,20,29.1,35.1,50.5,34.2,2019
Louisiana Monroe,SB,34,19,17.4,26.9,35.8,49.6,39.7,2019
South Alabama,SB,32,17,19.7,25.5,35.1,51.1,37,2019
Texas St.,SB,32,24,20.7,33.2,34.4,50.8,32.4,2019
Troy,SB,28,12,17.1,27.2,31.7,51.7,33.2,2019
UT Arlington,SB,32,17,18.1,31,34.5,47.9,30.5,2019
Chattanooga,SC,30,20,18.7,32.5,43.8,49.9,34.4,2015
East Tennessee St.,SC,28,14,21.4,29.6,39.8,45.5,36.7,2015
Furman,SC,31,9,16.5,29.5,44.1,48.9,32.8,2015
Mercer,SC,33,17,19.2,33.3,40.2,48.3,34.2,2015
Samford,SC,31,12,21.1,30.1,37.9,49.2,34,2015
The Citadel,SC,27,8,15.9,31.3,38,46.8,40.2,2015
UNC Greensboro,SC,30,8,18.2,30.6,31.3,47.6,36.1,2015
VMI,SC,28,9,20.5,31.9,29.8,46.7,31.4,2015
Western Carolina,SC,30,13,20.7,34.7,34.6,47.2,34.8,2015
East Tennessee St.,SC,34,22,17.8,28.3,34.9,50.4,38.3,2016
Furman,SC,33,17,19.2,32.1,43.3,54.2,31.9,2016
Mercer,SC,32,16,16.6,36.1,31.7,47.9,35.2,2016
Samford,SC,31,11,20.9,29.4,44.7,51,31.9,2016
The Citadel,SC,29,7,19.3,26.7,31.1,50.1,31.7,2016
UNC Greensboro,SC,31,12,17.4,27.1,28,49.1,36.3,2016
VMI,SC,27,6,18.7,26.3,27,45.7,32.5,2016
Western Carolina,SC,31,13,20.8,30.4,38.2,48.3,33,2016
Wofford,SC,30,13,17.6,26.2,38.4,45.8,40.9,2016
Chattanooga,SC,29,19,21.4,31.2,40.3,53.3,33.1,2017
Furman,SC,33,23,19.5,27.2,32.1,53.3,38.1,2017
Mercer,SC,30,15,15.7,33.9,32.8,49.6,34.4,2017
Samford,SC,34,20,17.2,29.4,41.5,50.2,38.9,2017
The Citadel,SC,30,12,19.7,28,32.8,47.8,33.9,2017
UNC Greensboro,SC,32,25,19.4,34.3,30.1,50.4,37,2017
VMI,SC,28,6,17.9,26.6,29.5,48.2,32,2017
Western Carolina,SC,30,9,19.1,31.5,27.7,41.9,30.4,2017
Wofford,SC,30,16,18,28.1,31.9,49.4,38.4,2017
Chattanooga,SC,31,10,19.2,26.6,34.6,48.6,34.8,2018
East Tennessee St.,SC,32,25,20.6,30.7,33.1,54.8,34.7,2018
Furman,SC,31,23,20.6,27,28.2,56.8,35.3,2018
Mercer,SC,32,19,16.5,31.4,35.7,52.7,37.8,2018
Samford,SC,30,10,18.7,24.7,30.8,53.3,37.2,2018
The Citadel,SC,29,11,19.6,27.4,32.7,47.9,33.4,2018
VMI,SC,28,9,18.8,25.4,27.7,43.7,32.3,2018
Western Carolina,SC,30,12,21,29,31.8,45.3,33,2018
Wofford,SC,31,21,18.7,25,28.5,50.9,40.2,2018
Chattanooga,SC,29,12,15.4,24.6,24.2,49.3,36.3,2019
East Tennessee St.,SC,32,24,20.5,37,30,55,35.9,2019
Furman,SC,30,25,20.1,28.7,24.9,56.7,36,2019
Mercer,SC,29,11,20.1,28.8,35.7,51.2,33.8,2019
Samford,SC,32,17,18.1,28.1,33.9,53,37.3,2019
The Citadel,SC,27,12,16.9,25.1,25.8,54.2,33.5,2019
UNC Greensboro,SC,34,29,22.2,31.4,30.6,51.4,33.8,2019
VMI,SC,29,11,16.9,21.7,29.2,47.6,35.4,2019
Western Carolina,SC,31,7,14.7,28.4,34.8,52.3,36.8,2019
Alabama,SEC,33,18,18.9,29.6,43.7,52.3,32.2,2015
Auburn,SEC,34,14,21.3,27.6,48.8,43.4,35,2015
Florida,SEC,33,16,21.6,31.7,31.4,50.3,32.4,2015
Mississippi St.,SEC,31,12,18.9,32.3,46.4,47.9,31.1,2015
Missouri,SEC,31,8,17.2,29.4,32.5,44.2,32.5,2015
South Carolina,SEC,32,16,21,34.6,37.3,45.2,30.1,2015
Tennessee,SEC,32,16,22.6,37,32.3,47.4,33.1,2015
Texas A&M,SEC,33,21,19.4,34.1,38.1,49.6,35.1,2015
Vanderbilt,SEC,34,20,18.1,31.9,42.4,51.5,39.6,2015
Alabama,SEC,33,18,18.2,28.3,40.7,48.5,33.9,2016
Arkansas,SEC,32,16,19.6,30.9,37.6,46.1,39.7,2016
Auburn,SEC,31,11,17.8,27.9,41,44.3,34,2016
Florida,SEC,36,21,18.6,32.9,39.5,48.9,31.9,2016
Georgia,SEC,34,20,15.6,32.4,43.5,44.8,36.8,2016
LSU,SEC,33,19,18.8,29.8,43,52,32.7,2016
Mississippi,SEC,32,20,20.1,34.6,41.3,46.5,33.8,2016
Mississippi St.,SEC,31,14,18.5,29.7,29.5,52.6,33.4,2016
Missouri,SEC,31,10,16,26.8,39.6,47.6,31,2016
South Carolina,SEC,33,24,20.5,37.5,43.2,46.6,35.4,2016
Tennessee,SEC,34,15,17.3,32.1,34.1,47.4,32.7,2016
Alabama,SEC,34,19,19.8,34.1,39.1,48.7,31.7,2017
Auburn,SEC,32,18,19.9,30.3,42.5,48.5,36.6,2017
Georgia,SEC,33,19,16.7,28.9,40.7,48.3,31.8,2017
LSU,SEC,31,10,16.9,31.2,31.5,50.2,33.6,2017
Mississippi,SEC,36,22,18.8,33.9,42.8,46.8,34.7,2017
Mississippi St.,SEC,32,16,19.7,27.1,33.9,50.4,34.7,2017
Missouri,SEC,32,8,19.2,28.2,38.7,45,30.4,2017
Tennessee,SEC,31,16,19.3,31.8,42.9,46,32.4,2017
Texas A&M,SEC,31,16,17.4,37.4,33.3,52.1,32.9,2017
Georgia,SEC,33,18,14.5,34.8,40.1,47.4,31.8,2018
LSU,SEC,33,18,19.6,29.2,32.5,56.3,34.6,2018
Mississippi,SEC,32,12,17.3,31.3,33.8,48.7,31.9,2018
Mississippi St.,SEC,36,25,19.5,32.1,31.7,55.2,31.5,2018
South Carolina,SEC,32,17,21,33.6,42.8,43.5,33.8,2018
Vanderbilt,SEC,32,12,14.7,28.6,36.2,50.8,35.3,2018
Alabama,SEC,34,18,16.9,31.5,38,49.9,34,2019
Arkansas,SEC,34,18,22.5,28.3,38.4,50.6,34.5,2019
Georgia,SEC,32,11,15.5,32.7,41.3,51.1,32.2,2019
Missouri,SEC,32,15,18.1,31.9,29.8,47.6,36.3,2019
South Carolina,SEC,31,16,20.3,31.8,36.2,44.9,36.5,2019
Texas A&M,SEC,32,14,18.5,32.7,34.2,51,30.8,2019
Vanderbilt,SEC,32,9,16.4,29,40.6,50,31.1,2019
Abilene Christian,Slnd,28,7,20.8,24.1,28.3,42,37.8,2015
Central Arkansas,Slnd,29,2,18.3,28,39.3,46.5,35.3,2015
Houston Baptist,Slnd,24,8,17.2,37.6,39.4,47.5,31.5,2015
Incarnate Word,Slnd,25,14,17.9,25.7,45.3,51.8,35,2015
Lamar,Slnd,26,11,20.4,34.6,41.9,50.7,31.9,2015
McNeese St.,Slnd,27,11,18.5,33.7,30.9,45.9,31.6,2015
New Orleans,Slnd,26,8,21.2,35.7,45.9,45.2,33.9,2015
Nicholls St.,Slnd,26,7,20.3,30.1,42.4,48.4,31.2,2015
Northwestern St.,Slnd,28,15,19.6,29.8,35.1,51.6,36.8,2015
Sam Houston St.,Slnd,31,22,20.4,36,46.3,47.3,32.1,2015
Southeastern Louisiana,Slnd,31,8,19.4,29.1,32.5,53,31.2,2015
Texas A&M Corpus Chris,Slnd,32,18,20.6,30.3,51,48.7,33.5,2015
Abilene Christian,Slnd,27,9,19.2,24.5,40.3,48.4,36.3,2016
Central Arkansas,Slnd,28,7,15.8,31.3,41.9,47.4,37.2,2016
